OBJECTID,REPDIST,PREC,APREC,BUREAU,BASICCAR,TOOLTIP
1119,802,8,WEST LOS ANGELES,WEST BUREAU,8A1,Bureau: WEST BUREAU\nDistrict: 802\nDivision: WEST LOS ANGELES
1120,801,8,WEST LOS ANGELES,WEST BUREAU,8A1,Bureau: WEST BUREAU\nDistrict: 801\nDivision: WEST LOS ANGELES
1121,811,8,WEST LOS ANGELES,WEST BUREAU,8A1,Bureau: WEST BUREAU\nDistrict: 811\nDivision: WEST LOS ANGELES
1122,1008,10,WEST VALLEY,VALLEY BUREAU,10A39,Bureau: VALLEY BUREAU\nDistrict: 1008\nDivision: WEST VALLEY
1123,1028,10,WEST VALLEY,VALLEY BUREAU,10A17,Bureau: VALLEY BUREAU\nDistrict: 1028\nDivision: WEST VALLEY
1124,1035,10,WEST VALLEY,VALLEY BUREAU,10A21,Bureau: VALLEY BUREAU\nDistrict: 1035\nDivision: WEST VALLEY
1125,1037,10,WEST VALLEY,VALLEY BUREAU,10A17,Bureau: VALLEY BUREAU\nDistrict: 1037\nDivision: WEST VALLEY
1126,1034,10,WEST VALLEY,VALLEY BUREAU,10A21,Bureau: VALLEY BUREAU\nDistrict: 1034\nDivision: WEST VALLEY
1127,1049,10,WEST VALLEY,VALLEY BUREAU,10A17,Bureau: VALLEY BUREAU\nDistrict: 1049\nDivision: WEST VALLEY
1128,1047,10,WEST VALLEY,VALLEY BUREAU,10A17,Bureau: VALLEY BUREAU\nDistrict: 1047\nDivision: WEST VALLEY
1129,1044,10,WEST VALLEY,VALLEY BUREAU,10A83,Bureau: VALLEY BUREAU\nDistrict: 1044\nDivision: WEST VALLEY
1130,1045,10,WEST VALLEY,VALLEY BUREAU,10A83,Bureau: VALLEY BUREAU\nDistrict: 1045\nDivision: WEST VALLEY
1131,1774,17,DEVONSHIRE,VALLEY BUREAU,17A67,Bureau: VALLEY BUREAU\nDistrict: 1774\nDivision: DEVONSHIRE
1132,1787,17,DEVONSHIRE,VALLEY BUREAU,17A67,Bureau: VALLEY BUREAU\nDistrict: 1787\nDivision: DEVONSHIRE
1133,1767,17,DEVONSHIRE,VALLEY BUREAU,17A67,Bureau: VALLEY BUREAU\nDistrict: 1767\nDivision: DEVONSHIRE
1134,1773,17,DEVONSHIRE,VALLEY BUREAU,17A67,Bureau: VALLEY BUREAU\nDistrict: 1773\nDivision: DEVONSHIRE
1135,1785,17,DEVONSHIRE,VALLEY BUREAU,17A67,Bureau: VALLEY BUREAU\nDistrict: 1785\nDivision: DEVONSHIRE
